index,key_suffix,name,display_name,hex,L,a,b
224,c224,Innocent Snowdrop,Innocent Snowdrop,#d0c7ff,0.855661,0.029135,-0.071963
225,c225,Shrimp Toast,Shrimp Toast Orange,#f7c5a0,0.858665,0.039943,0.063998
226,c226,Herbivore,Herbivore Green,#88ee77,0.860363,-0.142402,0.115788
227,c227,Sour Green,Sour Green,#c1e613,0.867435,-0.104929,0.175942
228,c228,Hyperpop Green,Hyperpop Green,#17f9a6,0.867666,-0.182090,0.066686
229,c229,Mamba Yellow,Mamba Yellow,#fdd014,0.871328,-0.008201,0.175504
230,c230,Ephemeral Red,Ephemeral Red,#e4cfd7,0.874055,0.025407,-0.003321
231,c231,Gatsby Glitter,Gatsby Glitter Yellow,#eed683,0.878136,-0.007044,0.106179
232,c232,Break the Ice,Break the Ice,#b2e1ee,0.880994,-0.041598,-0.030770
233,c233,Venomous Green,Venomous Green,#66ff22,0.882154,-0.203547,0.176789
234,c234,Glaucous Green,Glaucous Green,#b3e8c2,0.884095,-0.067437,0.033628
235,c235,Venomous Sting,Venomous Sting Green,#c6ec7a,0.891693,-0.083603,0.121580
236,c236,Master Sword Blue,Master Sword Blue,#00ffee,0.899926,-0.156719,-0.017168
237,c237,Sugar Chic,Sugar Chic Magenta,#ffccff,0.905121,0.072720,-0.048553
238,c238,Frost,Frost,#e1e4c5,0.908433,-0.015246,0.038301
239,c239,Pika Yellow,Pika Yellow,#eee92d,0.909226,-0.057470,0.177508
240,c240,Creamy Mint,Creamy Mint,#aaffaa,0.924983,-0.114205,0.081960
241,c241,Pink Glitter,Pink Glitter,#fddfda,0.926961,0.029760,0.016497
242,c242,Liquid Neon,Liquid Neon Green,#c8ff00,0.928119,-0.128742,0.191023
243,c243,Blister Pearl,Blister Pearl,#aaffee,0.941039,-0.085700,-0.000562
244,c244,Spätzle Yellow,Spätzle Yellow,#ffee88,0.941661,-0.021648,0.122579
245,c245,Foundation White,Foundation White,#efeeff,0.954872,0.007276,-0.021536
246,c246,Lime Mist,Lime Mist,#ddffaa,0.955992,-0.067505,0.092266
247,c247,Bat-Signal,Bat-Signal Yellow,#feff00,0.967180,-0.072459,0.198417
248,c248,Ice,Ice,#d6fffa,0.969851,-0.042122,-0.005517
249,c249,Matt White,Matt White,#ffffd4,0.989249,-0.016553,0.052913
